               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.019182,           0.0047964,                   0,             0.99897,             0.99145,               0.995,             0.75668,            0.018991,           0.0035872,                   0,            0.007723,            0.007723,            0.007723
                 117,             0.01835,           0.0044829,                   0,               0.999,             0.99145,               0.995,             0.75965,            0.018216,           0.0035366,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.017422,           0.0047208,                   0,                   1,             0.98962,               0.995,             0.75763,            0.019517,           0.0036504,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,             0.01801,           0.0047369,                   0,             0.99669,             0.98291,             0.99491,             0.74652,            0.019423,           0.0036245,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.018149,           0.0045746,                   0,             0.99144,             0.98974,             0.99491,             0.76095,            0.018553,            0.003704,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.016882,           0.0046451,                   0,             0.99047,                   1,               0.995,             0.75558,            0.019513,            0.003634,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.016441,           0.0041952,                   0,             0.99021,                   1,             0.99492,             0.75375,            0.019078,           0.0035841,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,             0.01714,           0.0047603,                   0,             0.99862,                   1,               0.995,             0.77055,            0.018365,           0.0034628,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.017936,           0.0043282,                   0,             0.99898,                   1,               0.995,             0.76907,            0.019852,           0.0035645,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.017677,           0.0045592,                   0,             0.99941,                   1,               0.995,             0.75959,            0.018971,           0.0036345,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.017532,           0.0041866,                   0,             0.99923,             0.99145,               0.995,             0.74378,            0.019602,           0.0037454,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.016411,           0.0042655,                   0,             0.99961,             0.99145,               0.995,             0.75653,            0.020861,           0.0037551,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.017528,           0.0043489,                   0,              0.9949,             0.99145,               0.995,             0.74123,            0.019615,           0.0037933,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.018706,           0.0046083,                   0,             0.99907,             0.99145,               0.995,             0.74391,            0.019291,           0.0037306,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.016794,           0.0044276,                   0,             0.99864,             0.99145,               0.995,             0.73587,            0.019754,           0.0036608,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.016999,           0.0048386,                   0,                   1,             0.99111,               0.995,             0.76391,            0.018887,           0.0036495,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.017305,           0.0044187,                   0,                   1,              0.9811,             0.99491,             0.74788,            0.019876,           0.0038777,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.017889,           0.0044921,                   0,             0.99084,             0.99145,             0.99457,             0.74672,            0.019587,           0.0039231,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.016617,           0.0043378,                   0,              0.9977,             0.99145,               0.995,             0.74197,            0.020406,           0.0039152,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.017094,           0.0044263,                   0,             0.99808,             0.99145,               0.995,             0.74255,            0.020626,           0.0037451,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.016806,           0.0042513,                   0,              0.9992,                   1,               0.995,               0.731,            0.020119,           0.0037537,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.017738,           0.0042702,                   0,             0.99981,             0.98291,             0.99491,             0.73307,            0.020311,           0.0039228,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.017782,           0.0044322,                   0,             0.99812,                   1,               0.995,             0.76133,            0.019175,           0.0036867,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.017662,           0.0045504,                   0,             0.99819,                   1,               0.995,             0.75519,            0.019477,           0.0036816,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.017378,           0.0044617,                   0,             0.98316,             0.99782,             0.99483,             0.74749,            0.019188,           0.0037704,                   0,           0.0072478,           0.0072478,           0.0072478
